Account_ID,Account_Number,Customer_First_Name,Customer_Last_Name,State,City,Zip_Code,Original_Balance,Outstanding_Balance,Credit_Score,Placement_Date,Charge_Off_Date,Collection_Stage,Days_Past_Due,Last_Payment_Date,Account_Tenure_Months,Account_Status,Bankruptcy_Flag,Fraud_Flag
2626,NVT00002626,Allison,Ward,New York,Buffalo,37530,551.63,551.63,579,2024-11-29,2024-11-15,Tertiary,524,2025-04-20,14,Active,0,0
2627,NVT00002627,Tiffany,Evans,Arizona,Mesa,69627,2124.7,2124.7,738,2025-11-27,2025-11-11,Primary,136,2026-01-31,2,Active,0,0
2628,NVT00002628,Valerie,Green,Ohio,Columbus,16388,222.03,222.03,688,2024-12-13,2024-11-01,Tertiary,525,,15,Active,0,0
2629,NVT00002629,Sarah,Murphy,Pennsylvania,Pittsburgh,14300,985.77,985.77,608,2024-07-31,2024-06-23,Tertiary,387,2024-11-03,19,Active,0,0
2630,NVT00002630,David,Hughes,Ohio,Cleveland,89641,1183.21,1183.21,606,2024-12-16,2024-12-04,Tertiary,432,,14,Active,0,0
2631,NVT00002631,Michelle,Miller,Ohio,Cincinnati,25620,14443.64,14443.64,660,2025-03-22,2025-02-08,Secondary,317,2025-07-09,11,Active,0,0
2632,NVT00002632,Ashley,Walker,Georgia,Savannah,08258,2469.24,2469.24,672,2025-10-24,2025-09-13,Primary,141,2026-01-06,4,Active,0,0
2633,NVT00002633,Michael,Weaver,California,San Diego,12722,8605.59,8605.59,653,2025-12-01,2025-10-27,Primary,178,2026-01-31,3,Active,0,0
2634,NVT00002634,Felicia,Watson,Pennsylvania,Allentown,67564,2491.66,2491.66,661,2026-01-20,2026-01-09,Pre-Writeoff,46,,0,Active,0,0
2635,NVT00002635,Kathryn,Dyer,Arizona,Phoenix,56338,152.19,152.19,758,2024-10-10,2024-08-31,Tertiary,368,2025-07-11,17,Active,0,0
2636,NVT00002636,Stephanie,Phillips,Arizona,Phoenix,38303,1267.4,1267.4,715,2026-01-16,2025-12-13,Pre-Writeoff,80,,1,Active,0,0
2637,NVT00002637,Kaylee,White,Ohio,Cleveland,32621,2439.46,2439.46,653,2025-09-08,2025-09-02,Primary,108,2026-01-31,5,Active,0,0
2638,NVT00002638,Alvin,Poole,Pennsylvania,Philadelphia,18313,496.53,496.53,705,2024-10-14,2024-10-09,Tertiary,403,,15,Active,0,0
2639,NVT00002639,Carlos,Moore,Ohio,Columbus,32936,994.02,994.02,567,2025-02-01,2024-12-29,Secondary,331,2025-09-05,13,Active,0,0
2640,NVT00002640,Jose,Lambert,Texas,Houston,11476,1288.92,1288.92,667,2024-08-05,2024-07-11,Tertiary,428,2025-02-27,18,Active,0,0
2641,NVT00002641,Bill,Taylor,Ohio,Columbus,35141,4890.3,4890.3,766,2025-04-17,2025-04-06,Secondary,345,2025-07-26,10,Active,0,0
2642,NVT00002642,Bruce,Hodge,Georgia,Atlanta,47329,542.24,542.24,624,2024-11-11,2024-10-24,Tertiary,489,,15,Active,0,0
2643,NVT00002643,Kristina,Lee,Florida,Jacksonville,90854,1930.31,1930.31,580,2024-12-03,2024-11-19,Tertiary,422,,14,Active,0,0
2644,NVT00002644,William,Ellis,Florida,Orlando,50171,1239.78,1239.78,594,2024-12-10,2024-11-05,Tertiary,376,2025-07-30,15,Active,0,0
2645,NVT00002645,Courtney,White,California,Sacramento,49205,127.48,127.48,563,2025-08-07,2025-08-05,Primary,178,2026-01-31,5,Active,0,0
2646,NVT00002646,Walter,Russell,North Carolina,Greensboro,13201,994.33,994.33,585,2025-11-06,2025-09-22,Primary,109,2026-01-31,4,Active,0,0
2647,NVT00002647,Robert,Douglas,Florida,Tampa,67361,875.98,875.98,614,2025-11-25,2025-11-18,Primary,172,,2,Active,0,0
2648,NVT00002648,Jacqueline,Smith,New York,Buffalo,16845,417.41,417.41,541,2025-06-29,2025-06-23,Primary,108,2025-09-22,7,Active,0,0
2649,NVT00002649,Christopher,Hall,New York,Buffalo,22265,2022.43,2022.43,641,2025-01-21,2024-12-19,Secondary,183,,13,Active,0,0
2650,NVT00002650,Amanda,Hayes,New York,New York,61281,122.22,122.22,703,2024-09-01,2024-08-28,Tertiary,438,,17,Active,0,0
2651,NVT00002651,Christina,Riley,Florida,Orlando,48631,3572.41,3572.41,576,2024-09-01,2024-07-19,Tertiary,493,,18,Active,0,0
2652,NVT00002652,Joshua,Gordon,Pennsylvania,Allentown,78446,523.73,523.73,746,2025-03-14,2025-03-01,Secondary,293,2025-03-30,11,Active,0,0
2653,NVT00002653,Kyle,Steele,New York,Albany,11075,16984.01,16984.01,675,2025-11-01,2025-09-28,Primary,111,2026-01-31,4,Active,0,0
2654,NVT00002654,William,Owen,Illinois,Springfield,62711,886.55,886.55,712,2025-12-06,2025-10-24,Primary,157,,3,Active,0,0
2655,NVT00002655,James,Foster,California,Sacramento,07954,4398.64,4398.64,593,2026-01-13,2025-12-18,Pre-Writeoff,58,2026-01-31,1,Active,0,0
2656,NVT00002656,Lindsey,Underwood,California,Sacramento,03328,4997.12,4997.12,699,2025-05-21,2025-04-29,Secondary,259,,9,Active,0,0
2657,NVT00002657,Amanda,Guerra,Pennsylvania,Pittsburgh,32709,538.9,538.9,563,2026-01-13,2026-01-10,Pre-Writeoff,72,,0,Active,0,0
2658,NVT00002658,Peter,Johnson,New York,New York,36051,1172.09,1172.09,702,2025-05-09,2025-04-25,Secondary,238,,9,Active,0,0
2659,NVT00002659,Cynthia,Moody,Arizona,Mesa,32224,8829.9,8829.9,652,2024-10-17,2024-10-14,Tertiary,528,,15,Active,0,0
2660,NVT00002660,Mary,Hinton,Georgia,Augusta,60832,524.03,524.03,678,2024-07-11,2024-06-16,Tertiary,518,,19,Active,0,0
2661,NVT00002661,Erin,Curtis,Florida,Orlando,35996,824.15,824.15,557,2024-07-04,2024-05-24,Tertiary,433,,20,Active,0,0
2662,NVT00002662,Carl,Page,Georgia,Savannah,26428,334.16,334.16,577,2025-06-25,2025-05-31,Primary,114,2026-01-31,8,Active,0,0
2663,NVT00002663,Holly,Prince,North Carolina,Raleigh,96031,9492.41,9492.41,681,2025-08-10,2025-07-15,Primary,178,2026-01-31,6,Active,0,0
2664,NVT00002664,Jessica,Carroll,Georgia,Atlanta,20759,3501.26,3501.26,573,2025-12-29,2025-11-17,Pre-Writeoff,52,,2,Active,0,0
2665,NVT00002665,Meghan,Ramirez,Pennsylvania,Pittsburgh,46913,1031.3,1031.3,672,2025-08-28,2025-08-06,Primary,161,2025-10-23,5,Active,0,0
2666,NVT00002666,Brian,Mullins,Texas,Dallas,50483,1895.76,1895.76,544,2025-04-05,2025-02-22,Secondary,280,2025-04-10,11,Active,0,0
2667,NVT00002667,Christopher,Chung,North Carolina,Raleigh,89974,2028.47,2028.47,699,2026-01-15,2025-12-24,Pre-Writeoff,84,,1,Active,0,0
2668,NVT00002668,Ryan,Hernandez,New York,Rochester,61973,283.75,283.75,553,2024-08-26,2024-07-25,Tertiary,395,,18,Active,0,0
2669,NVT00002669,Shawn,Ballard,California,Los Angeles,39300,3823.25,3823.25,678,2025-02-15,2025-01-24,Secondary,211,,12,Active,0,0
2670,NVT00002670,Chelsea,Davis,Arizona,Tucson,04214,9529.2,9529.2,683,2026-01-21,2026-01-14,Pre-Writeoff,45,2026-01-31,0,Active,0,0
2671,NVT00002671,Kyle,Bates,Illinois,Naperville,90786,2520.4,2520.4,591,2025-11-09,2025-10-04,Primary,170,,3,Active,0,0
2672,NVT00002672,Judith,Freeman,North Carolina,Raleigh,43833,607.23,607.23,680,2024-08-01,2024-07-15,Tertiary,392,2024-11-05,18,Active,0,0
2673,NVT00002673,Joy,Small,Illinois,Naperville,28024,1793.21,1793.21,658,2025-10-04,2025-09-25,Primary,158,,4,Active,0,0
2674,NVT00002674,David,Brown,Ohio,Cleveland,50300,4821.81,4821.81,602,2025-11-15,2025-11-02,Primary,171,2026-01-31,3,Active,0,0
2675,NVT00002675,Jean,Baker,New York,New York,18598,2496.03,2496.03,569,2025-03-31,2025-02-25,Secondary,250,2026-01-14,11,Active,0,0
2676,NVT00002676,Jacqueline,Chaney,Texas,Houston,41815,4312.77,4312.77,502,2026-01-02,2025-11-22,Pre-Writeoff,35,,2,Active,0,0
2677,NVT00002677,Frank,Turner,Illinois,Chicago,12482,1693.98,1693.98,664,2025-08-07,2025-08-01,Primary,161,2025-12-16,6,Active,0,0
2678,NVT00002678,Stephanie,Skinner,Georgia,Savannah,85619,6572.28,6572.28,530,2026-01-20,2025-12-31,Pre-Writeoff,84,2026-01-31,1,Active,0,0
2679,NVT00002679,Alexandra,Brown,Illinois,Chicago,88549,1528.76,1528.76,646,2026-01-16,2025-12-07,Pre-Writeoff,32,2026-01-31,1,Active,0,0
2680,NVT00002680,Krista,Perez,North Carolina,Charlotte,20795,1246.29,1246.29,621,2025-04-16,2025-04-14,Secondary,303,2026-01-23,9,Active,0,0
2681,NVT00002681,Jennifer,Bauer,Georgia,Atlanta,27436,1384.47,1384.47,687,2024-11-07,2024-11-06,Tertiary,390,2025-05-10,15,Active,0,0
2682,NVT00002682,Gary,Davenport,Ohio,Cleveland,16684,1109.39,1109.39,618,2025-08-03,2025-07-08,Primary,171,2025-12-30,6,Active,0,0
2683,NVT00002683,David,Valentine,Illinois,Chicago,10074,8856.03,8856.03,616,2025-04-25,2025-03-30,Secondary,294,2025-11-19,10,Active,0,0
2684,NVT00002684,Kimberly,Martin,Georgia,Savannah,44614,618.23,618.23,691,2024-07-07,2024-06-10,Tertiary,504,2024-10-10,20,Active,0,0
2685,NVT00002685,Joseph,Briggs,California,Sacramento,34295,3954.91,3954.91,663,2026-01-22,2026-01-06,Pre-Writeoff,33,,0,Active,0,0
2686,NVT00002686,Olivia,Lynch,North Carolina,Raleigh,14816,2306.73,2306.73,662,2024-10-01,2024-09-22,Tertiary,505,,16,Active,0,0
2687,NVT00002687,Kelsey,Ramirez,North Carolina,Greensboro,83992,130.49,130.49,672,2025-09-08,2025-08-30,Primary,161,2025-09-13,5,Active,0,0
2688,NVT00002688,Anthony,Myers,Ohio,Cincinnati,09212,303.71,303.71,532,2025-08-30,2025-08-06,Primary,158,2026-01-31,5,Active,0,0
2689,NVT00002689,Lindsay,White,Arizona,Phoenix,15383,7327.46,7327.46,692,2026-01-27,2025-12-23,Pre-Writeoff,55,,1,Active,0,0
2690,NVT00002690,Joseph,Walton,Florida,Miami,78078,1180.82,1180.82,682,2024-09-15,2024-09-07,Tertiary,456,2025-03-20,17,Active,0,1
2691,NVT00002691,Caleb,Blair,New York,Buffalo,04042,1245.03,1245.03,568,2026-01-14,2025-12-17,Pre-Writeoff,66,,1,Active,0,0
2692,NVT00002692,Jennifer,Molina,Florida,Miami,84397,3166.42,3166.42,622,2025-11-19,2025-11-18,Primary,156,2026-01-31,2,Active,0,0
2693,NVT00002693,Barbara,Blake,New York,New York,18524,1859.47,1859.47,637,2026-01-15,2026-01-06,Pre-Writeoff,52,2026-01-31,0,Active,0,0
2694,NVT00002694,Chris,Gonzalez,Ohio,Columbus,04140,1681.15,1681.15,630,2025-10-06,2025-09-26,Primary,128,2026-01-31,4,Active,0,0
2695,NVT00002695,Spencer,Anderson,Texas,Austin,50200,8982.67,8982.67,663,2026-01-27,2026-01-13,Pre-Writeoff,34,,0,Active,1,0
2696,NVT00002696,Michael,Mcknight,North Carolina,Raleigh,02018,3813.14,3813.14,740,2025-06-29,2025-05-29,Primary,153,2026-01-31,8,Active,0,0
2697,NVT00002697,Victor,Hanson,Arizona,Phoenix,64569,3487.7,3487.7,715,2025-03-14,2025-02-10,Secondary,233,2025-10-19,11,Active,0,0
2698,NVT00002698,Ashley,Hall,Pennsylvania,Allentown,13930,2308.07,2308.07,548,2024-12-04,2024-10-27,Tertiary,406,2025-09-20,15,Active,0,0
2699,NVT00002699,Michael,Taylor,Florida,Jacksonville,32986,2455.96,2455.96,683,2025-08-15,2025-07-05,Primary,114,2026-01-25,7,Active,0,0
2700,NVT00002700,Jonathan,Taylor,Pennsylvania,Allentown,97101,631.24,631.24,733,2026-01-05,2025-11-28,Pre-Writeoff,48,2026-01-31,2,Active,0,0
2701,NVT00002701,Dakota,Morales,Ohio,Columbus,53193,247.19,247.19,667,2024-11-07,2024-10-21,Tertiary,526,2025-07-07,15,Active,0,0
2702,NVT00002702,Audrey,Frey,North Carolina,Raleigh,85647,397.18,397.18,716,2024-10-11,2024-09-18,Tertiary,401,2025-02-22,16,Active,0,0
2703,NVT00002703,Jennifer,Lewis,New York,New York,76923,566.25,566.25,780,2025-07-05,2025-07-01,Primary,132,2025-11-27,7,Active,0,0
2704,NVT00002704,Jeremy,Rich,Illinois,Chicago,27226,3699.12,3699.12,711,2025-04-07,2025-03-14,Secondary,212,,10,Active,0,0
2705,NVT00002705,William,Hall,Illinois,Naperville,07416,894.65,894.65,657,2025-07-02,2025-06-15,Primary,115,,7,Active,0,0
2706,NVT00002706,Bradley,Robinson,Georgia,Savannah,04832,617.15,617.15,713,2026-01-15,2025-12-01,Pre-Writeoff,62,,2,Active,0,0
2707,NVT00002707,Michelle,King,Florida,Miami,47749,3601.68,3601.68,650,2026-01-23,2025-12-16,Pre-Writeoff,81,2026-01-31,1,Active,0,0
2708,NVT00002708,John,Mcdonald,Ohio,Cincinnati,17356,4157.81,4157.81,641,2024-10-19,2024-09-26,Tertiary,472,2025-03-07,16,Active,0,0
2709,NVT00002709,Thomas,Jones,Pennsylvania,Pittsburgh,23639,406.44,406.44,615,2025-06-09,2025-05-29,Secondary,211,,8,Active,0,0
2710,NVT00002710,Patrick,Schwartz,Illinois,Springfield,10382,800.54,800.54,749,2025-10-15,2025-10-05,Primary,146,2026-01-31,3,Active,0,0
2711,NVT00002711,Edward,Santiago,Texas,San Antonio,88961,1550.38,1550.38,582,2026-01-12,2026-01-03,Pre-Writeoff,50,2026-01-31,0,Active,0,0
2712,NVT00002712,Sarah,Patterson,California,San Diego,41040,8187.36,8187.36,747,2025-05-28,2025-05-11,Secondary,345,2025-08-29,8,Active,0,0
2713,NVT00002713,Meredith,Bryant,New York,Buffalo,35206,667.53,667.53,674,2025-07-02,2025-05-22,Primary,130,2026-01-29,8,Active,0,0
2714,NVT00002714,Angela,Cantu,North Carolina,Greensboro,21990,1167.68,1167.68,542,2024-07-09,2024-06-02,Tertiary,468,2024-11-13,20,Active,0,0
2715,NVT00002715,Robin,Smith,North Carolina,Charlotte,85269,169.12,169.12,665,2024-09-15,2024-08-10,Tertiary,444,2025-06-27,17,Active,0,0
2716,NVT00002716,Joy,Chase,Ohio,Columbus,56053,9120.5,9120.5,492,2024-10-03,2024-08-21,Tertiary,377,2025-05-29,17,Active,0,0
2717,NVT00002717,Robert,Thomas,California,San Jose,57876,7207.0,7207.0,683,2026-01-28,2026-01-03,Pre-Writeoff,59,2026-01-31,0,Active,0,0
2718,NVT00002718,Marc,Mendoza,Texas,Houston,86220,6088.7,6088.7,701,2025-07-26,2025-06-26,Primary,116,,7,Active,0,0
2719,NVT00002719,Robert,Bishop,Florida,Jacksonville,32527,9812.7,9812.7,598,2024-07-31,2024-06-21,Tertiary,526,2024-11-28,19,Active,0,0
2720,NVT00002720,Jennifer,Potter,Illinois,Springfield,98577,1039.59,1039.59,648,2025-12-02,2025-10-21,Primary,176,,3,Active,0,0
2721,NVT00002721,Joseph,Edwards,Texas,Dallas,99345,8059.35,8059.35,776,2025-11-30,2025-11-10,Primary,169,,2,Active,0,0
2722,NVT00002722,Christian,Roach,California,San Diego,48412,700.17,700.17,604,2025-11-08,2025-10-28,Primary,123,2026-01-31,3,Active,0,0
2723,NVT00002723,Nathan,Brown,Florida,Miami,26737,2627.17,2627.17,565,2026-01-22,2026-01-12,Pre-Writeoff,89,2026-01-31,0,Active,0,0
2724,NVT00002724,Wayne,Ramirez,Texas,San Antonio,73971,4921.39,4921.39,743,2026-01-07,2026-01-06,Pre-Writeoff,40,,0,Active,0,0
2725,NVT00002725,Rachel,Wood,Georgia,Savannah,35302,7815.83,7815.83,777,2024-10-28,2024-10-04,Tertiary,463,2024-11-06,16,Active,0,0
2726,NVT00002726,Harry,Brown,Georgia,Savannah,88289,5436.06,5436.06,640,2026-01-05,2025-11-22,Pre-Writeoff,39,2026-01-31,2,Active,0,0
2727,NVT00002727,Linda,David,Texas,San Antonio,18338,8202.83,8202.83,710,2026-01-16,2025-12-14,Pre-Writeoff,77,2026-01-31,1,Active,0,0
2728,NVT00002728,Tina,Thompson,Illinois,Naperville,41914,7745.03,7745.03,733,2024-12-28,2024-12-05,Secondary,189,,14,Active,0,0
2729,NVT00002729,Stephanie,Hall,Ohio,Cincinnati,56130,967.42,967.42,588,2025-04-11,2025-03-05,Secondary,346,,11,Active,0,0
2730,NVT00002730,Casey,Perkins,Florida,Miami,16219,2709.64,2709.64,606,2026-01-13,2026-01-02,Pre-Writeoff,70,,0,Active,0,0
2731,NVT00002731,Steven,Hammond,California,San Jose,16713,3026.92,3026.92,726,2025-03-23,2025-02-19,Secondary,342,2025-03-30,11,Active,0,0
2732,NVT00002732,Justin,Cabrera,Arizona,Tucson,54156,13204.6,13204.6,757,2026-01-16,2025-12-16,Pre-Writeoff,57,2026-01-31,1,Active,0,0
2733,NVT00002733,Megan,Jackson,Florida,Jacksonville,14744,1933.61,1933.61,679,2025-07-03,2025-06-10,Primary,103,2025-08-14,7,Active,0,0
2734,NVT00002734,Mark,Johnson,Georgia,Augusta,90340,1957.84,1957.84,578,2025-11-29,2025-11-21,Primary,163,2026-01-31,2,Active,0,0
2735,NVT00002735,Angela,Nelson,California,Los Angeles,41483,1016.35,1016.35,779,2026-01-21,2026-01-06,Pre-Writeoff,87,2026-01-31,0,Active,0,0
2736,NVT00002736,Alan,Hardin,Georgia,Atlanta,88066,303.77,303.77,602,2025-09-06,2025-09-05,Primary,127,2026-01-31,4,Active,0,0
2737,NVT00002737,James,Sparks,Arizona,Mesa,81919,2027.03,2027.03,616,2025-11-16,2025-10-05,Primary,118,2026-01-31,3,Active,0,0
2738,NVT00002738,Anne,Williams,Pennsylvania,Pittsburgh,75326,1199.67,1199.67,663,2026-01-08,2025-12-01,Pre-Writeoff,46,2026-01-31,2,Active,0,0
2739,NVT00002739,Kevin,Fernandez,Illinois,Springfield,94272,13336.69,13336.69,748,2026-01-22,2025-12-10,Pre-Writeoff,63,,1,Active,0,0
2740,NVT00002740,Cindy,Ellis,Florida,Miami,80600,1951.9,1951.9,699,2024-09-08,2024-08-23,Tertiary,456,2024-12-19,17,Active,0,0
2741,NVT00002741,Steven,Potts,New York,Rochester,41275,287.79,287.79,669,2024-10-08,2024-08-25,Tertiary,403,,17,Active,0,0
2742,NVT00002742,Brittany,Marsh,California,Sacramento,35908,17535.39,17535.39,672,2025-11-21,2025-10-20,Primary,93,,3,Active,0,0
2743,NVT00002743,Trevor,Pacheco,North Carolina,Raleigh,96781,4187.29,4187.29,643,2024-07-24,2024-07-09,Tertiary,452,2024-09-13,19,Active,0,0
2744,NVT00002744,Kendra,Robles,Illinois,Naperville,19069,11771.52,11771.52,679,2026-01-13,2026-01-03,Pre-Writeoff,63,2026-01-31,0,Active,0,0
2745,NVT00002745,James,Lowery,North Carolina,Charlotte,54645,1758.1,1758.1,462,2026-01-26,2025-12-20,Pre-Writeoff,78,2026-01-31,1,Active,0,0
2746,NVT00002746,Rachel,Smith,New York,New York,92484,460.31,460.31,619,2024-12-13,2024-11-12,Tertiary,428,2025-09-04,14,Active,0,0
2747,NVT00002747,Kathleen,Gibson,Pennsylvania,Pittsburgh,11677,681.3,681.3,656,2024-10-11,2024-09-30,Tertiary,477,,16,Active,0,0
2748,NVT00002748,John,Martin,North Carolina,Raleigh,70485,4965.9,4965.9,559,2025-02-13,2025-01-07,Secondary,358,2025-08-08,12,Active,0,0
2749,NVT00002749,Adam,Martin,Florida,Orlando,36573,438.35,438.35,667,2024-07-11,2024-07-05,Tertiary,524,,19,Active,0,0
2750,NVT00002750,Robert,Robles,North Carolina,Charlotte,43682,1903.81,1903.81,625,2025-10-25,2025-10-05,Primary,90,,3,Active,0,0
2751,NVT00002751,Jesse,Carter,Arizona,Mesa,41734,1975.29,1975.29,762,2026-01-30,2026-01-26,Pre-Writeoff,64,2026-01-31,0,Active,0,0
2752,NVT00002752,Michael,Ibarra,California,Sacramento,27980,629.8,629.8,750,2026-01-07,2025-12-26,Pre-Writeoff,51,2026-01-31,1,Active,0,0
2753,NVT00002753,Mary,Brown,California,Los Angeles,57987,3110.28,3110.28,607,2025-11-29,2025-10-17,Primary,126,,3,Active,0,0
2754,NVT00002754,Natalie,Olsen,Illinois,Springfield,42015,662.16,662.16,629,2024-09-04,2024-08-25,Tertiary,379,2024-09-25,17,Active,0,0
2755,NVT00002755,Stephanie,Bowen,Ohio,Cincinnati,70665,501.65,501.65,634,2025-03-21,2025-02-21,Secondary,356,2025-10-04,11,Active,0,0
2756,NVT00002756,Aaron,Hendricks,Florida,Orlando,20715,156.91,156.91,608,2024-11-12,2024-10-10,Tertiary,394,,15,Active,0,0
2757,NVT00002757,Diane,Green,Florida,Jacksonville,53123,346.83,346.83,653,2025-02-26,2025-02-23,Secondary,254,,11,Active,0,0
2758,NVT00002758,Melinda,Ware,Ohio,Columbus,69964,3803.09,3803.09,586,2025-03-01,2025-01-25,Secondary,250,2025-12-20,12,Active,0,0
2759,NVT00002759,Jessica,Ford,Illinois,Naperville,17180,6484.61,6484.61,560,2024-10-30,2024-10-22,Tertiary,485,,15,Active,0,0
2760,NVT00002760,Dalton,Parsons,North Carolina,Raleigh,94851,131.56,131.56,683,2024-07-14,2024-06-25,Tertiary,494,,19,Active,0,0
2761,NVT00002761,Alyssa,Garcia,North Carolina,Greensboro,84538,19596.4,19596.4,684,2026-01-21,2025-12-26,Pre-Writeoff,65,,1,Active,0,0
2762,NVT00002762,John,Lowery,Texas,San Antonio,82403,12450.46,12450.46,583,2026-01-02,2025-12-17,Pre-Writeoff,88,,1,Active,0,0
2763,NVT00002763,Travis,May,California,Los Angeles,48833,3801.0,3801.0,702,2025-10-19,2025-09-28,Primary,126,2026-01-31,4,Active,0,0
2764,NVT00002764,Brian,Vazquez,Georgia,Atlanta,08368,2559.5,2559.5,595,2025-09-22,2025-08-31,Primary,117,2025-11-10,5,Active,0,0
2765,NVT00002765,Wendy,Morris,Texas,San Antonio,70474,1228.01,1228.01,657,2025-03-20,2025-03-18,Secondary,194,,10,Active,0,0
2766,NVT00002766,Jennifer,Green,Ohio,Cincinnati,14455,11515.38,11515.38,697,2026-01-27,2026-01-01,Pre-Writeoff,31,2026-01-31,1,Active,0,0
2767,NVT00002767,Christopher,Rodriguez,Ohio,Cincinnati,35852,386.99,386.99,637,2024-12-25,2024-11-13,Secondary,356,2025-05-26,14,Active,0,0
2768,NVT00002768,Samantha,Buchanan,Florida,Miami,80722,9384.86,9384.86,671,2025-05-23,2025-04-25,Secondary,351,,9,Active,0,0
2769,NVT00002769,Phyllis,Burke,Pennsylvania,Philadelphia,76592,3566.81,3566.81,603,2024-12-04,2024-11-06,Tertiary,447,2025-04-07,15,Active,0,0
2770,NVT00002770,April,Atkins,Georgia,Atlanta,86603,3980.31,3980.31,626,2024-09-19,2024-08-09,Tertiary,538,,18,Active,0,0
2771,NVT00002771,Jaclyn,Frost,Pennsylvania,Philadelphia,41257,419.49,419.49,625,2025-05-20,2025-04-09,Secondary,185,2025-10-06,9,Active,0,0
2772,NVT00002772,Nathan,Williams,California,Los Angeles,04616,3509.64,3509.64,587,2024-12-19,2024-11-28,Tertiary,479,2025-03-17,14,Active,0,0
2773,NVT00002773,Terri,Ward,North Carolina,Charlotte,24483,4241.85,4241.85,627,2026-01-19,2025-12-31,Pre-Writeoff,70,2026-01-31,1,Active,0,0
2774,NVT00002774,Christopher,Weaver,North Carolina,Greensboro,25601,582.32,582.32,531,2025-11-10,2025-11-07,Primary,114,2026-01-31,2,Active,0,0
2775,NVT00002775,Cody,Herrera,Georgia,Atlanta,18007,3620.92,3620.92,605,2025-05-27,2025-04-26,Secondary,264,2026-01-27,9,Active,0,0
2776,NVT00002776,Dennis,Knapp,New York,Buffalo,26040,472.11,472.11,620,2025-05-26,2025-04-18,Secondary,230,,9,Active,0,0
2777,NVT00002777,Lori,Moore,Florida,Jacksonville,46027,3995.84,3995.84,622,2025-09-15,2025-09-07,Primary,131,,4,Active,0,0
2778,NVT00002778,Charles,Byrd,California,San Jose,73266,14808.56,14808.56,623,2025-09-22,2025-09-06,Primary,114,2025-12-20,4,Active,0,0
2779,NVT00002779,Ashley,Fuller,Pennsylvania,Allentown,49055,376.32,376.32,635,2024-07-22,2024-06-09,Tertiary,406,,20,Active,0,0
2780,NVT00002780,Ryan,Morgan,New York,Rochester,78247,829.3,829.3,673,2024-12-13,2024-11-13,Tertiary,426,,14,Active,0,0
2781,NVT00002781,Tamara,Brennan,Pennsylvania,Pittsburgh,30646,1998.6,1998.6,701,2026-01-12,2026-01-10,Pre-Writeoff,49,,0,Active,0,0
2782,NVT00002782,Joel,Brown,North Carolina,Charlotte,46089,3978.06,3978.06,594,2025-09-17,2025-08-26,Primary,122,,5,Active,0,0
2783,NVT00002783,Jose,Moore,Pennsylvania,Philadelphia,67501,2852.8,2852.8,555,2025-06-14,2025-05-14,Secondary,337,2025-12-01,8,Active,0,0
2784,NVT00002784,Leslie,George,Georgia,Augusta,07836,1498.62,1498.62,567,2025-12-21,2025-11-10,Pre-Writeoff,39,2026-01-31,2,Active,0,0
2785,NVT00002785,Lauren,Lang,Georgia,Savannah,91420,559.08,559.08,605,2025-06-01,2025-05-24,Secondary,330,2025-08-15,8,Active,0,0
2786,NVT00002786,Jaclyn,Richards,Texas,Houston,27535,626.24,626.24,615,2024-11-20,2024-11-12,Tertiary,535,2025-05-03,14,Active,0,0
2787,NVT00002787,Jill,Watts,Arizona,Phoenix,88275,14316.52,14316.52,586,2025-03-02,2025-02-15,Secondary,268,,11,Active,0,0
2788,NVT00002788,Louis,Cruz,Pennsylvania,Allentown,97076,1644.3,1644.3,549,2025-11-29,2025-11-18,Primary,174,2026-01-31,2,Active,0,0
2789,NVT00002789,Joseph,Chang,Ohio,Columbus,82890,1092.3,1092.3,608,2026-01-30,2026-01-01,Pre-Writeoff,60,2026-01-31,1,Active,0,0
2790,NVT00002790,Charles,Campbell,Illinois,Naperville,44181,1492.39,1492.39,652,2025-08-22,2025-07-11,Primary,166,,6,Active,0,0
2791,NVT00002791,James,Scott,Florida,Miami,85021,645.24,645.24,681,2024-09-05,2024-07-23,Tertiary,478,2024-11-11,18,Active,0,0
2792,NVT00002792,Kimberly,Hunter,Ohio,Cleveland,22966,543.15,543.15,600,2025-01-31,2025-01-20,Secondary,321,2025-02-13,12,Active,0,0
2793,NVT00002793,Brenda,Stevenson,Ohio,Cleveland,67083,2958.7,2958.7,611,2026-01-23,2026-01-08,Pre-Writeoff,54,2026-01-31,0,Active,0,0
2794,NVT00002794,Eric,Valentine,Texas,Austin,68379,390.85,390.85,575,2025-09-19,2025-08-29,Primary,171,2025-12-12,5,Active,0,0
2795,NVT00002795,Frank,Washington,Florida,Tampa,04467,6652.41,6652.41,637,2025-04-15,2025-03-18,Secondary,210,2025-07-07,10,Active,0,0
2796,NVT00002796,Steven,Burton,North Carolina,Raleigh,44549,16978.59,16978.59,580,2025-11-08,2025-10-12,Primary,107,,3,Active,0,0
2797,NVT00002797,Richard,Hayes,New York,Rochester,04173,2334.61,2334.61,680,2026-01-02,2025-12-22,Pre-Writeoff,65,,1,Active,0,0
2798,NVT00002798,Amanda,Hammond,Florida,Jacksonville,65491,1480.4,1480.4,514,2025-12-21,2025-11-10,Pre-Writeoff,78,,2,Active,0,0
2799,NVT00002799,Tami,Jones,Florida,Tampa,41939,1151.24,1151.24,614,2026-01-20,2025-12-30,Pre-Writeoff,55,,1,Active,0,0
